faa,name,tz,tzone
GVL,Lee Gilmer Memorial Airport,-5,America/New_York
GVQ,Genesee County Airport,-5,America/New_York
GVT,Majors,-6,America/Chicago
GWO,Greenwood Leflore,-6,America/Chicago
GYY,Gary Chicago International Airport,-6,America/Chicago
HBG,Hattiesburg Bobby L. Chain Municipal Airport,-6,America/Chicago
HBR,Hobart Muni,-6,America/Chicago
HCC,Columbia County,-5,America/New_York
HCR,Holy Cross Airport,-9,America/Anchorage
HDH,Dillingham,-10,Pacific/Honolulu
HDI,Hardwick Field Airport,-5,America/New_York
HDN,Yampa Valley,-7,America/Denver
HDO,Hondo Municipal Airport,-6,America/Chicago
HFD,Hartford Brainard,-5,America/New_York
HGR,Hagerstown Regional Richard A Henson Field,-5,America/New_York
HHH,Hilton Head,-5,America/New_York
HHI,Wheeler Aaf,-10,Pacific/Honolulu
HHR,Jack Northrop Fld Hawthorne Muni,-8,America/Los_Angeles
HIB,Chisholm Hibbing,-6,America/Chicago
HIF,Hill Afb,-7,America/Denver
HII,Lake Havasu City Airport,-7,America/Phoenix
HIO,Portland Hillsboro,-8,America/Los_Angeles
HKB,Healy River Airport,-9,America/Anchorage
HKY,Hickory Rgnl,-5,America/New_York
HLG,Wheeling Ohio County Airport,-5,America/New_York
HLN,Helena Rgnl,-7,America/Denver
HLR,Hood Aaf,-6,America/Chicago
HMN,Holloman Afb,-7,America/Denver
HNH,Hoonah Airport,-9,America/Anchorage
HNL,Honolulu Intl,-10,Pacific/Honolulu
HNM,Hana,-10,Pacific/Honolulu
HNS,Haines Airport,-9,America/Anchorage
HOB,Lea Co Rgnl,-7,America/Denver
HOM,Homer,-9,America/Anchorage
HON,Huron Rgnl,-6,America/Chicago
HOP,Campbell Aaf,-6,America/Chicago
HOT,Memorial Field,-6,America/Chicago
HOU,William P Hobby,-6,America/Chicago
HPB,Hooper Bay Airport,-9,America/Anchorage
HPN,Westchester Co,-5,America/New_York
HQM,Bowerman Field,-8,America/Los_Angeles
HQU,McDuffie County Airport,-5,America/New_York
HRL,Valley Intl,-6,America/Chicago
HRO,Boone Co,-6,America/Chicago
HRT,Hurlburt Fld,-6,America/Chicago
HSH,Henderson Executive Airport,-8,America/Los_Angeles
HSL,Huslia Airport,-9,America/Anchorage
HST,Homestead Arb,-5,America/New_York
HSV,Huntsville International Airport-Carl T Jones Field,-6,America/Chicago
HTL,Roscommon Co,-5,America/New_York
HTS,Tri State Milton J Ferguson Field,-5,America/New_York
HUA,Redstone Aaf,-6,America/Chicago
HUF,Terre Haute Intl Hulman Fld,-5,America/New_York
HUL,Houlton Intl,-5,America/New_York
HUS,Hughes Airport,-9,America/Anchorage
HUT,Hutchinson Municipal Airport,-6,America/Chicago
HVN,Tweed-New Haven Airport,-5,America/New_York
HVR,Havre City Co,-7,America/Denver
HWD,Hayward Executive Airport,-8,America/Los_Angeles
HWO,North Perry,-5,America/New_York
HXD,Hilton Head Airport,-5,America/New_York
HYA,Barnstable Muni Boardman Polando Fld,-5,America/New_York
HYG,Hydaburg Seaplane Base,-9,America/Anchorage
HYL,Hollis Seaplane Base,-9,America/Anchorage
HYS,Hays Regional Airport,-6,America/Chicago
HZL,Hazleton Municipal,-5,America/New_York
IAB,Mc Connell Afb,-6,America/Chicago
IAD,Washington Dulles Intl,-5,America/New_York
IAG,Niagara Falls Intl,-5,America/New_York
IAH,George Bush Intercontinental,-6,America/Chicago
IAN,Bob Baker Memorial Airport,-9,America/Anchorage
ICT,Wichita Mid Continent,-6,America/Chicago
ICY,Icy Bay Airport,-9,America/Anchorage
IDA,Idaho Falls Rgnl,-7,America/Denver
IDL,Idlewild Intl,-5,America/New_York
IFP,Laughlin-Bullhead Intl,-7,America/Phoenix
IGG,Igiugig Airport,-9,America/Anchorage
IGM,Kingman Airport,-7,America/Phoenix
IGQ,Lansing Municipal,-6,America/Chicago
IJD,Windham Airport,-5,America/New_York
IKK,Greater Kankakee,-6,America/Chicago
IKO,Nikolski Air Station,-9,America/Anchorage
IKR,Kirtland Air Force Base,-7,America/Denver
IKV,Ankeny Regl Airport,-6,America/Chicago
ILG,New Castle,-5,America/New_York
ILI,Iliamna,-9,America/Anchorage
ILM,Wilmington Intl,-5,America/New_York
ILN,Wilmington Airborne Airpark,-5,America/New_York
IMM,Immokalee,-5,America/New_York
IMT,Ford Airport,-6,America/Chicago
IND,Indianapolis Intl,-5,America/New_York
INJ,Hillsboro Muni,-6,America/Chicago
INK,Winkler Co,-6,America/Chicago
INL,Falls Intl,-6,America/Chicago
INS,Creech Afb,-8,America/Los_Angeles
INT,Smith Reynolds,-5,America/New_York
INW,Winslow-Lindbergh Regional Airport,-7,America/Phoenix
IOW,Iowa City Municipal Airport,-6,America/Chicago
IPL,Imperial Co,-8,America/Los_Angeles
IPT,Williamsport Rgnl,-5,America/New_York
IRC,Circle City Airport,-9,America/Anchorage
IRK,Kirksville Regional Airport,-6,America/Chicago
ISM,Kissimmee Gateway Airport,-5,America/New_York
ISN,Sloulin Fld Intl,-6,America/Chicago
ISO,Kinston Regional Jetport,-5,America/New_York
ISP,Long Island Mac Arthur,-5,America/New_York
ISW,Alexander Field South Wood County Airport,-6,America/Chicago
ITH,Ithaca Tompkins Rgnl,-5,America/New_York
ITO,Hilo Intl,-10,Pacific/Honolulu
IWD,Gogebic Iron County Airport,-6,America/Chicago
IWS,West Houston,-6,America/Chicago
IYK,Inyokern Airport,-8,America/Los_Angeles
IZG,Eastern Slopes Regional,-5,America/New_York
JAC,Jackson Hole Airport,-7,America/Denver
JAN,Jackson Evers Intl,-6,America/Chicago
JAX,Jacksonville Intl,-5,America/New_York
JBR,Jonesboro Muni,-6,America/Chicago
JCI,New Century AirCenter Airport,-6,America/Chicago
JEF,Jefferson City Memorial Airport,-6,America/Chicago
JES,Jesup-Wayne County Airport,-5,America/New_York
JFK,John F Kennedy Intl,-5,America/New_York
JGC,Grand Canyon Heliport,-7,America/Phoenix
JHM,Kapalua,-10,Pacific/Honolulu
JHW,Chautauqua County-Jamestown,-5,America/New_York
JKA,Jack Edwards Airport,-6,America/Chicago
JLN,Joplin Rgnl,-6,America/Chicago
JMS,Jamestown Regional Airport,-6,America/Chicago
JNU,Juneau Intl,-9,America/Anchorage
JOT,Regional Airport,-6,America/Chicago
JRA,West 30th St. Heliport,-5,America/New_York
JRB,Wall Street Heliport,-5,America/New_York
JST,John Murtha Johnstown-Cambria County Airport,-5,America/New_York
JVL,Southern Wisconsin Regional Airport,-6,America/Chicago
JXN,Reynolds Field,-5,America/New_York
JYL,Plantation Airpark,-5,America/New_York
JYO,Leesburg Executive Airport,-5,America/New_York
JZP,Pickens County Airport,-5,America/New_York
K03,Wainwright As,-9,America/Anchorage
K27,Burrello-Mechanicville Airport,-5,America/New_York
K83,Sabetha Municipal,-6,America/Chicago
KAE,Kake Seaplane Base,-9,America/Anchorage
KAL,Kaltag Airport,-9,America/Anchorage
KBC,Birch Creek Airport,-9,America/Anchorage
KBW,Chignik Bay Seaplane Base,-9,America/Anchorage
KCC,Coffman Cove Seaplane Base,-9,America/Anchorage
KCL,Chignik Lagoon Airport,-9,America/Anchorage
KCQ,Chignik Lake Airport,-9,America/Anchorage
KEH,Kenmore Air Harbor Inc Seaplane Base,-8,America/Los_Angeles
KEK,Ekwok Airport,-9,America/Anchorage
KFP,False Pass Airport,-9,America/Anchorage
KGK,Koliganek Airport,-9,America/Anchorage
KGX,Grayling Airport,-9,America/Anchorage
KKA,Koyuk Alfred Adams Airport,-9,America/Anchorage
KKB,Kitoi Bay Seaplane Base,-9,America/Anchorage
KKH,Kongiganak Airport,-9,America/Anchorage
KLG,Kalskag Airport,-9,America/Anchorage
KLL,Levelock Airport,-9,America/Anchorage
KLN,Larsen Bay Airport,-9,America/Anchorage
KLS,Kelso Longview,-8,America/Los_Angeles
KLW,Klawock Airport,-9,America/Anchorage
KMO,Manokotak Airport,-9,America/Anchorage
KMY,Moser Bay Seaplane Base,-9,America/Anchorage
KNW,New Stuyahok Airport,-9,America/Anchorage
KOA,Kona Intl At Keahole,-10,Pacific/Honolulu
KOT,Kotlik Airport,-9,America/Anchorage
KOY,Olga Bay Seaplane Base,-9,America/Anchorage
KOZ,Ouzinkie Airport,-9,America/Anchorage
KPB,Point Baker Seaplane Base,-9,America/Anchorage
KPC,Port Clarence Coast Guard Station,-9,America/Anchorage
KPN,Kipnuk Airport,-9,America/Anchorage
KPR,Port Williams Seaplane Base,-9,America/Anchorage
KPV,Perryville Airport,-9,America/Anchorage
KPY,Port Bailey Seaplane Base,-9,America/Anchorage
KQA,Akutan Seaplane Base,-9,America/Anchorage
KSM,St Marys Airport,-9,America/Anchorage
KTB,Thorne Bay Seaplane Base,-9,America/Anchorage
KTN,Ketchikan Intl,-9,America/Anchorage
KTS,Brevig Mission Airport,-9,America/Anchorage
KUK,Kasigluk Airport,-9,America/Anchorage
KVC,King Cove Airport,-9,America/Anchorage
KVL,Kivalina Airport,-9,America/Anchorage
KWK,Kwigillingok Airport,-9,America/Anchorage
KWN,Quinhagak Airport,-9,America/Anchorage
KWP,West Point Village Seaplane Base,-9,America/Anchorage
KWT,Kwethluk Airport,-9,America/Anchorage
KYK,Karuluk Airport,-9,America/Anchorage
KYU,Koyukuk Airport,-9,America/Anchorage
KZB,Zachar Bay Seaplane Base,-9,America/Anchorage
L06,Furnace Creek,-8,America/Los_Angeles
L35,Big Bear City,-8,America/Los_Angeles
L52,Oceano County Airport,-8,America/Los_Angeles
LAA,Lamar Muni,-7,America/Denver
LAF,Purude University Airport,-5,America/New_York
LAL,Lakeland Linder Regional Airport,-5,America/New_York
LAM,Los Alamos Airport,-7,America/Denver
LAN,Capital City,-5,America/New_York
LAR,Laramie Regional Airport,-7,America/Denver
LAS,Mc Carran Intl,-8,America/Los_Angeles
LAW,Lawton-Fort Sill Regional Airport,-6,America/Chicago
LAX,Los Angeles Intl,-8,America/Los_Angeles
LBB,Lubbock Preston Smith Intl,-6,America/Chicago
LBE,Arnold Palmer Regional Airport,-5,America/New_York
LBF,North Platte Regional Airport Lee Bird Field,-6,America/Chicago
LBL,Liberal Muni,-6,America/Chicago
LBT,Municipal Airport,-5,America/New_York
LCH,Lake Charles Rgnl,-6,America/Chicago
LCK,Rickenbacker Intl,-5,America/New_York
LCQ,Lake City Municipal Airport,-5,America/New_York
LDJ,Linden Airport,-5,America/New_York
LEB,Lebanon Municipal Airport,-5,America/New_York
LEW,Lewiston Maine,-5,America/New_York
LEX,Blue Grass,-5,America/New_York
LFI,Langley Afb,-5,America/New_York
LFK,Angelina Co,-6,America/Chicago
LFT,Lafayette Rgnl,-6,America/Chicago
LGA,La Guardia,-5,America/New_York
LGB,Long Beach,-8,America/Los_Angeles
LGC,LaGrange-Callaway Airport,-5,America/New_York
LGU,Logan-Cache,-7,America/Denver
LHD,Lake Hood Seaplane Base,-9,America/Anchorage
LHM,Lincoln Regional Airport Karl Harder Field,-8,America/Los_Angeles
LHV,William T. Piper Mem.,-5,America/New_York
LHX,La Junta Muni,-7,America/Denver
LIH,Lihue,-10,Pacific/Honolulu
LIT,Adams Fld,-6,America/Chicago
LIV,Livingood Airport,-9,America/Anchorage
LKE,Kenmore Air Harbor Seaplane Base,-8,America/Los_Angeles
LKK,Kulik Lake Airport,-9,America/Anchorage
LKP,Lake Placid Airport,-5,America/New_York
LMT,Klamath Falls Airport,-8,America/Los_Angeles
LNA,Palm Beach Co Park,-5,America/New_York
LNK,Lincoln,-6,America/Chicago
LNN,Lost Nation Municipal Airport,-5,America/New_York
LNR,Tri-County Regional Airport,-6,America/Chicago
LNS,Lancaster Airport,-5,America/New_York
LNY,Lanai,-10,Pacific/Honolulu
LOT,Lewis University Airport,-6,America/Chicago
LOU,Bowman Fld,-5,America/New_York
LOZ,London-Corbin Airport-MaGee Field,-5,America/New_York
LPC,Lompoc Airport,-8,America/Los_Angeles
LPR,Lorain County Regional Airport,-5,America/New_York
LPS,Lopez Island Airport,-8,America/Los_Angeles
LRD,Laredo Intl,-6,America/Chicago
LRF,Little Rock Afb,-6,America/Chicago
LRO,Mount Pleasant Regional-Faison Field,-5,NA
LRU,Las Cruces Intl,-7,America/Denver
LSE,La Crosse Municipal,-6,America/Chicago
LSF,Lawson Aaf,-5,America/New_York
LSV,Nellis Afb,-8,America/Los_Angeles
LTS,Altus Afb,-6,America/Chicago
LUF,Luke Afb,-7,America/Phoenix
LUK,Cincinnati Muni Lunken Fld,-5,America/New_York
LUP,Kalaupapa Airport,-10,Pacific/Honolulu
LUR,Cape Lisburne Lrrs,-9,America/Anchorage
LVK,Livermore Municipal,-8,America/Los_Angeles
LVM,Mission Field Airport,-7,America/Denver
LVS,Las Vegas Muni,-7,America/Denver
LWA,South Haven Area Regional Airport,-5,America/New_York
LWB,Greenbrier Valley Airport,-5,America/New_York
LWC,Lawrence Municipal,-6,America/Chicago
LWM,Lawrence Municipal Airport,-5,America/New_York
LWS,Lewiston Nez Perce Co,-8,America/Los_Angeles
LWT,Lewistown Municipal Airport,-7,America/Denver
LXY,Mexia - Limestone County Airport,-6,America/Chicago
LYH,Lynchburg Regional Preston Glenn Field,-5,America/New_York
LYU,Ely Municipal,-6,America/Chicago
LZU,Gwinnett County Airport-Briscoe Field,-5,America/New_York
M94,Desert Aire,-8,America/Los_Angeles
MAE,Madera Municipal Airport,-8,America/Los_Angeles
MAF,Midland Intl,-6,America/Chicago
MBL,Manistee County-Blacker Airport,-5,America/New_York
MBS,Mbs Intl,-5,America/New_York
MCC,Mc Clellan Afld,-8,America/Los_Angeles
MCD,Mackinac Island Airport,-5,America/New_York
MCE,Merced Municipal Airport,-8,America/Los_Angeles
MCF,Macdill Afb,-5,America/New_York
MCG,McGrath Airport,-9,America/Anchorage
MCI,Kansas City Intl,-6,America/Chicago
MCK,McCook Regional Airport,-6,America/Chicago
MCL,McKinley National Park Airport,-9,America/Anchorage
MCN,Middle Georgia Rgnl,-5,America/New_York
MCO,Orlando Intl,-5,America/New_York
MCW,Mason City Municipal,-6,America/Chicago
MDT,Harrisburg Intl,-5,America/New_York
MDW,Chicago Midway Intl,-6,America/Chicago
ME5,Banks Airport,-5,America/New_York
MEI,Key Field,-6,America/Chicago
MEM,Memphis Intl,-6,America/Chicago
MER,Castle,-8,America/Los_Angeles
MFD,Mansfield Lahm Regional,-5,America/New_York
MFE,Mc Allen Miller Intl,-6,America/Chicago
MFI,Marshfield Municipal Airport,-6,America/Chicago
MFR,Rogue Valley Intl Medford,-8,America/Los_Angeles
MGC,Michigan City Municipal Airport,-6,America/Chicago
MGE,Dobbins Arb,-5,America/New_York
MGJ,Orange County Airport,-5,America/New_York
MGM,Montgomery Regional Airport,-6,America/Chicago
MGR,Moultrie Municipal Airport,-5,America/New_York
MGW,Morgantown Muni Walter L Bill Hart Fld,-5,America/New_York
MGY,Dayton-Wright Brothers Airport,-5,America/New_York
MHK,Manhattan Reigonal,-6,America/Chicago
MHM,Minchumina Airport,-9,America/Anchorage
MHR,Sacramento Mather,-8,America/Los_Angeles
MHT,Manchester Regional Airport,-5,America/New_York
MHV,Mojave,-8,America/Los_Angeles
MIA,Miami Intl,-5,America/New_York
MIB,Minot Afb,-6,America/Chicago
MIC,Crystal Airport,-6,America/Chicago
MIE,Delaware County Airport,-5,America/New_York
MIV,Millville Muni,-5,America/New_York
MKC,Downtown,-6,America/Chicago
MKE,General Mitchell Intl,-6,America/Chicago
MKG,Muskegon County Airport,-5,America/New_York
MKK,Molokai,-10,Pacific/Honolulu
MKL,Mc Kellar Sipes Rgnl,-6,America/Chicago
MKO,Davis Fld,-6,America/Chicago
MLB,Melbourne Intl,-5,America/New_York
MLC,Mc Alester Rgnl,-6,America/Chicago
MLD,Malad City,-7,America/Denver
MLI,Quad City Intl,-6,America/Chicago
MLJ,Baldwin County Airport,-5,America/New_York
MLL,Marshall Don Hunter Sr. Airport,-9,America/Anchorage
MLS,Frank Wiley Field,-7,America/Denver
MLT,Millinocket Muni,-5,America/New_York
MLU,Monroe Rgnl,-6,America/Chicago
MLY,Manley Hot Springs Airport,-9,America/Anchorage
MMH,Mammoth Yosemite Airport,-8,America/Los_Angeles
MMI,McMinn Co,-5,America/New_York
MMU,Morristown Municipal Airport,-5,America/New_York
MMV,Mc Minnville Muni,-8,America/Los_Angeles
MNM,Menominee Marinette Twin Co,-6,America/Chicago
MNT,Minto Airport,-9,America/Anchorage
MNZ,Manassas,-5,America/New_York
MOB,Mobile Rgnl,-6,America/Chicago
MOD,Modesto City Co Harry Sham,-8,America/Los_Angeles
MOT,Minot Intl,-6,America/Chicago
MOU,Mountain Village Airport,-9,America/Anchorage
MPB,Miami Seaplane Base,-5,America/New_York
MPI,MariposaYosemite,-8,America/Los_Angeles
MPV,Edward F Knapp State,-5,America/New_York
MQB,Macomb Municipal Airport,-6,America/Chicago
MQI,Dare County Regional,-5,America/New_York
MQT,Sawyer International Airport,-5,America/New_York
MRB,Eastern WV Regional Airport,-5,America/New_York
MRI,Merrill Fld,-9,America/Anchorage
MRK,Marco Islands,-5,America/New_York
MRN,Foothills Regional Airport,-5,America/New_York
MRY,Monterey Peninsula,-8,America/Los_Angeles
MSL,Northwest Alabama Regional Airport,-6,America/Chicago
MSN,Dane Co Rgnl Truax Fld,-6,America/Chicago
MSO,Missoula Intl,-7,America/Denver
MSP,Minneapolis St Paul Intl,-6,America/Chicago
MSS,Massena Intl Richards Fld,-5,America/New_York
MSY,Louis Armstrong New Orleans Intl,-6,America/Chicago
MTC,Selfridge Angb,-5,America/New_York
MTH,Florida Keys Marathon Airport,-5,America/New_York
MTJ,Montrose Regional Airport,-7,America/Denver
MTM,Metlakatla Seaplane Base,-9,America/Anchorage
MTN,Martin State,-5,America/New_York
MUE,Waimea Kohala,-10,Pacific/Honolulu
MUI,Muir Aaf,-5,America/New_York
MUO,Mountain Home Afb,-7,America/Denver
MVL,Morrisville Stowe State Airport,-5,America/New_York
MVY,Martha\\'s Vineyard,-5,America/New_York
MWA,Williamson Country Regional Airport,-6,America/Chicago
MWC,Lawrence J Timmerman Airport,-6,America/Chicago
MWH,Grant Co Intl,-8,America/Los_Angeles
MWL,Mineral Wells,-6,America/Chicago
MWM,Windom Municipal Airport,-6,America/Chicago
MXF,Maxwell Afb,-6,America/Chicago
MXY,McCarthy Airport,-9,America/Anchorage
MYF,Montgomery Field,8,Asia/Chongqing
MYL,McCall Municipal Airport,-7,America/Denver
MYR,Myrtle Beach Intl,-5,America/New_York
MYU,Mekoryuk Airport,-9,America/Anchorage
MYV,Yuba County Airport,-8,America/Los_Angeles
MZJ,Pinal Airpark,-7,America/Phoenix
N53,Stroudsburg-Pocono Airport,-5,America/New_York
N69,Stormville Airport,-5,America/New_York
N87,Trenton-Robbinsville Airport,-5,America/New_York
NBG,New Orleans Nas Jrb,-6,America/Chicago
NBU,Naval Air Station,-6,America/Chicago
NCN,Chenega Bay Airport,-9,America/Anchorage
NEL,Lakehurst Naes,-5,America/New_York
NEW,Lakefront,-6,America/Chicago
NFL,Fallon Nas,-8,America/Los_Angeles
NGF,Kaneohe Bay Mcaf,-10,Pacific/Honolulu
NGP,Corpus Christi NAS,-6,America/Chicago
NGU,Norfolk Ns,-5,America/New_York
NGZ,NAS Alameda,-8,America/Los_Angeles
NHK,Patuxent River Nas,-5,America/New_York
NIB,Nikolai Airport,-9,America/Anchorage
NID,China Lake Naws,-8,America/Los_Angeles
NIP,Jacksonville Nas,-5,America/New_York
NJK,El Centro Naf,-8,America/Los_Angeles
NKT,Cherry Point Mcas,-5,America/New_York
NKX,Miramar Mcas,-8,America/Los_Angeles
NLC,Lemoore Nas,-8,America/Los_Angeles
NLG,Nelson Lagoon,-9,America/Anchorage
NME,Nightmute Airport,-9,America/Anchorage
NMM,Meridian Nas,-6,America/Chicago
NNL,Nondalton Airport,-9,America/Anchorage
NOW,Port Angeles Cgas,-8,America/Los_Angeles
NPA,Pensacola Nas,-6,America/Chicago
NPZ,Porter County Municipal Airport,-6,America/Chicago
NQA,Millington Rgnl Jetport,-6,America/Chicago
NQI,Kingsville Nas,-6,America/Chicago
NQX,Key West Nas,-5,America/New_York
NSE,Whiting Fld Nas North,-6,America/Chicago
NTD,Point Mugu Nas,-8,America/Los_Angeles
NTU,Oceana Nas,-5,America/New_York
NUI,Nuiqsut Airport,-9,America/Anchorage
NUL,Nulato Airport,-9,America/Anchorage
NUP,Nunapitchuk Airport,-9,America/Anchorage
NUQ,Moffett Federal Afld,-8,America/Los_Angeles
NUW,Whidbey Island Nas,-8,America/Los_Angeles
NXP,Twentynine Palms Eaf,-8,America/Los_Angeles
NXX,Willow Grove Nas Jrb,-5,America/New_York
NY9,Long Lake,-5,America/New_York
NYC,All Airports,-5,America/New_York
NYG,Quantico Mcaf,-5,America/New_York
NZC,Cecil Field,-5,America/New_York
NZJ,El Toro,-8,America/Los_Angeles
NZY,North Island Nas,-8,America/Los_Angeles
O03,Morgantown Airport,-5,America/New_York
O27,Oakdale Airport,-8,America/Los_Angeles
OAJ,Albert J Ellis,-5,America/New_York
OAK,Metropolitan Oakland Intl,-8,America/Los_Angeles
OAR,Marina Muni,-8,America/Los_Angeles
OBE,County,-5,America/New_York
OBU,Kobuk Airport,-9,America/Anchorage
OCA,Key Largo,-5,America/New_York
OCF,International Airport,-5,America/New_York
OEB,Branch County Memorial Airport,-5,America/New_York
OFF,Offutt Afb,-6,America/Chicago
OGG,Kahului,-10,Pacific/Honolulu
OGS,Ogdensburg Intl,-5,America/New_York
OJC,Johnson County Airport,-6,America/Chicago
OKC,Will Rogers World,-6,America/Chicago
OLF,LM Clayton Airport,-7,America/Denver
OLH,Old Harbor Airport,-9,America/Anchorage
OLM,Olympia Regional Airpor,-8,America/Los_Angeles
OLS,Nogales Intl,-7,America/Phoenix
OLT,San Diego Old Town Transit Center,-8,America/Los_Angeles
OLV,Olive Branch Muni,-6,America/Chicago
OMA,Eppley Afld,-6,America/Chicago
OME,Nome,-9,America/Anchorage
OMN,Ormond Beach municipal Airport,-5,America/New_York
ONH,Oneonta Municipal Airport,-5,America/New_York
ONP,Newport Municipal Airport,-8,America/Los_Angeles
ONT,Ontario Intl,-8,America/Los_Angeles
OOK,Toksook Bay Airport,-9,America/Anchorage
OPF,Opa Locka,-5,America/New_York
OQN,Brandywine Airport,-5,America/New_York
OQU,Quonset State Airport,-5,America/New_York
ORD,Chicago Ohare Intl,-6,America/Chicago
ORF,Norfolk Intl,-5,America/New_York
ORH,Worcester Regional Airport,-5,America/New_York
ORI,Port Lions Airport,-9,America/Anchorage
ORL,Executive,-5,America/New_York
ORT,Northway,-9,America/Anchorage
ORV,Robert Curtis Memorial Airport,-9,America/Anchorage
OSC,Oscoda Wurtsmith,-5,America/New_York
OSH,Wittman Regional Airport,-6,America/Chicago
OSU,Ohio State University Airport,-5,America/New_York
OTH,Southwest Oregon Regional Airport,-8,America/Los_Angeles
OTS,Anacortes Airport,-8,America/Los_Angeles
OTZ,Ralph Wien Mem,-9,America/Anchorage
OWB,Owensboro Daviess County Airport,-6,America/Chicago
OWD,Norwood Memorial Airport,-5,America/New_York
OXC,Waterbury-Oxford Airport,-5,America/New_York
OXD,Miami University Airport,-5,America/New_York
OXR,Oxnard - Ventura County,-8,America/Los_Angeles
OZA,Ozona Muni,-6,America/Chicago
P08,Coolidge Municipal Airport,-7,America/Phoenix
P52,Cottonwood Airport,-7,America/Phoenix
PAE,Snohomish Co,-8,America/Los_Angeles
PAH,Barkley Regional Airport,-6,America/Chicago
PAM,Tyndall Afb,-6,America/Chicago
PAO,Palo Alto Airport of Santa Clara County,-8,America/Los_Angeles
PAQ,Palmer Muni,-9,America/Anchorage
PBF,Grider Fld,-6,America/Chicago
PBG,Plattsburgh Intl,-5,America/New_York
PBI,Palm Beach Intl,-5,America/New_York
PBV,St George,-9,America/Anchorage
PBX,Pike County Airport - Hatcher Field,-5,America/New_York
PCW,Erie-Ottawa Regional Airport,-5,America/New_York
PCZ,Waupaca Municipal Airport,-6,America/Chicago
PDB,Pedro Bay Airport,-9,America/Anchorage
PDK,Dekalb-Peachtree Airport,-5,America/New_York
PDT,Eastern Oregon Regional Airport,-8,America/Los_Angeles
PDX,Portland Intl,-8,America/Los_Angeles
PEC,Pelican Seaplane Base,-9,America/Anchorage
PEQ,Pecos Municipal Airport,-6,America/Chicago
PFN,Panama City Bay Co Intl,-6,America/Chicago
PGA,Page Municipal Airport,-7,America/Phoenix
PGD,Charlotte County-Punta Gorda Airport,-5,America/New_York
PGV,Pitt-Greenville Airport,-5,America/New_York
PHD,Harry Clever Field Airport,-5,America/New_York
PHF,Newport News Williamsburg Intl,-5,America/New_York
PHK,Pahokee Airport,-5,America/New_York
PHL,Philadelphia Intl,-5,America/New_York
PHN,St Clair Co Intl,-5,America/New_York
PHO,Point Hope Airport,-9,America/Anchorage
PHX,Phoenix Sky Harbor Intl,-7,America/Phoenix
PIA,Peoria Regional,-6,America/Chicago
PIB,Hattiesburg Laurel Regional Airport,-6,America/Chicago
PIE,St Petersburg Clearwater Intl,-5,America/New_York
PIH,Pocatello Regional Airport,-7,America/Denver
PIM,Harris County Airport,-5,America/New_York
PIP,Pilot Point Airport,-9,America/Anchorage
PIR,Pierre Regional Airport,-6,America/Chicago
PIT,Pittsburgh Intl,-5,America/New_York
PIZ,Point Lay Lrrs,-9,America/Anchorage
PKB,Mid-Ohio Valley Regional Airport,-5,America/New_York
PLN,Pellston Regional Airport of Emmet County Airport,-5,America/New_York
PMB,Pembina Muni,-6,America/Chicago
PMD,Palmdale Rgnl Usaf Plt 42,-8,America/Los_Angeles
PML,Port Moller Airport,-9,America/Anchorage
PMP,Pompano Beach Airpark,-5,America/New_York
PNC,Ponca City Rgnl,-6,America/Chicago
PNE,Northeast Philadelphia,-5,America/New_York
PNM,Princeton Muni,-6,America/Chicago
PNS,Pensacola Rgnl,-6,America/Chicago
POB,Pope Field,-5,America/New_York
POC,Brackett Field,-8,America/Los_Angeles
POE,Polk Aaf,-6,America/Chicago
POF,Poplar Bluff Municipal Airport,-6,America/Chicago
PPC,Prospect Creek Airport,-9,America/Anchorage
PPV,Port Protection Seaplane Base,-9,America/Anchorage
PQI,Northern Maine Rgnl At Presque Isle,-5,America/New_York
PQS,Pilot Station Airport,-9,America/Anchorage
PRC,Ernest A Love Fld,-7,America/Phoenix
PRL,Port Oceanic Airport,-9,America/Anchorage
PSC,Tri Cities Airport,-8,America/Los_Angeles
PSG,Petersburg James A. Johnson,-9,America/Anchorage
PSM,Pease International Tradeport,-5,America/New_York
PSP,Palm Springs Intl,-8,America/Los_Angeles
PSX,Palacios Muni,-6,America/Chicago
PTA,Port Alsworth Airport,-9,America/Anchorage
PTB,Dinwiddie County Airport,-5,America/New_York
PTH,Port Heiden Airport,-9,America/Anchorage
PTK,Oakland Co. Intl,-5,America/New_York
PTU,Platinum,-9,America/Anchorage
PUB,Pueblo Memorial,-7,America/Denver
PUC,Carbon County Regional-Buck Davis Field,-7,America/Denver
PUW,Pullman-Moscow Rgnl,-8,America/Los_Angeles
PVC,Provincetown Muni,-5,America/New_York
PVD,Theodore Francis Green State,-5,America/New_York
PVU,Provo Municipal Airport,-7,America/Denver
PWK,Chicago Executive,-6,America/Chicago
PWM,Portland Intl Jetport,-5,America/New_York
PWT,Bremerton National,-8,America/Los_Angeles
PYM,Plymouth Municipal Airport,-5,America/New_York
PYP,Centre-Piedmont-Cherokee County Regional Airport,-6,America/Chicago
R49,Ferry County Airport,-8,America/Los_Angeles
RAC,John H. Batten Airport,-6,America/Chicago
RAL,Riverside Muni,-8,America/Los_Angeles
RAP,Rapid City Regional Airport,-7,America/Denver
RBD,Dallas Executive Airport,-6,America/Chicago
RBK,French Valley Airport,-8,America/Los_Angeles
RBM,Robinson Aaf,-6,America/Chicago
